Date,Description,Amount,Balance
2022-02-22 08:01:07.222,Utilities,499.8,26142.9199999999
2023-05-06 02:45:39.313,Salary,499.37,13742.9
2023-02-28 15:54:33.491,Entertainment,499.32,11784.35
2021-12-10 13:54:31.090,Insurance,499.3,21263.31
2021-06-25 06:12:07.442,Utilities,499.27,10058.37
2022-02-16 03:02:56.459,Salary,499.25,27124.9199999999
2021-12-06 22:16:45.935,Utilities,498.9,20927.24
2021-05-01 03:00:03.601,Insurance,498.53,9184.85999999999
2023-03-07 23:10:03.801,Rent,498.31,12216.73
2021-07-26 07:03:01.260,Miscellaneous,497.99,13171.38
